description,NhtsaID,Make,Model,Year,State,abs,cruise,crash,mph,mileage,topic,T1,T2,T3,T4,T5,T6,T7,sentiment score
"CONSUMER STATED THAT, THIS VEHICLE HAD THREE MAJOR RECALLS REGARDING SAFETY. THE FIRST WAS THE POWER TRAIN CONTROL MODULE, WHICH WAS REPLACED WITHOUT INCIDENT.  THE SECOND WAS, PRIOR TO RECALL WHILE DRIVING THE VEHICLE STALLED.  AFTER THE FACT HE RECEIVED TWO RECALL NOTICES FROM HONDA FOR THE FUEL PUMP CONNECTOR, 01V183000, THE VERY REASON THAT THE CAR SHUT OFF, AND FUEL TANK FILLER CONNECTOR ,01V182000, WHICH WAS REPLACED.",563533,HONDA,CIVIC,2001,RI,N,N,N,31,89522.0,T1,6.223233366239256,1.511066272682364,0.30215534862320037,-0.27034480571709296,0.10668516728386584,2.5563729992074498,2.594054395721943,-0.5
PRIOR TO THE RECALL THE FUEL PUMP AND THE FUEL TANK FILLER CONNECTOR FAILED. (RECALL # 01V183000 AND 01V182000).,563801,HONDA,CIVIC,2001,RI,N,N,N,31,89522.0,T6,1.1139762386301963,0.30320889158387215,-0.14896617857393177,-0.46248603567942875,-0.7788288973376538,1.4499782404525814,1.3530414886699293,-2.0
"THE VEHICLE HESITATES WHEN GOING UPHILL ALMOST TO THE POINT OF STALLING, THE VEHICLE WAS TAKEN TO THE DEALER BUT THE DEALER WAS UNABLE TO DUPLICATE THE PROBLEM.  JG",563842,HONDA,CIVIC,2001,CA,N,N,N,31,85064.0,T1,2.8466104850211753,0.06914842412068188,0.12888474583348467,-0.05848071649644001,1.3935060600197027,0.6258494302992899,-0.38309221115386594,-2.0
"WHILE DRIVING, REAR PASSENGER BRIDGESTONE TURANZA TIRE WENT FLAT, CONSUMER FEELS THIS OCCURRED DUE TO A TIRE DEFECT, DEALER DISAGREED AND STATED THAT THE CONSUMER HAD RIDDEN ON THE FLAT TIRE AND RUINED THE STRUCTURAL INTEGRITY OF THE TIRE, CONSUMER IS REQUESTING REIMBURSEMENT, TIRE SIZE IS P195/65R15.",564172,HONDA,ACCORD,2002,NY,N,N,N,22,79225.0,T4,3.448334228229444,0.37199977963018643,10.234613585397492,17.188233641840338,-5.590700259431575,-0.6520995766234665,-0.9285401256881428,-1.0
"WHEN VEHICLE IS AT A STOP WITH AN INCLINE, THE VEHICLE WILL ROLL BACK, CONSUMER HAS TO HOLD BOTH BRAKE AND ACCELERATOR TO AVOID SLIDING BACK. ALSO, TIRES WILL THEN MAKE SPINNING NOISE/SCREECHING.",564183,HONDA,CIVIC,2001,MA,N,N,N,31,85692.0,T4,2.8703506987670395,0.15796317153638395,2.912943089572164,3.216675612212726,2.9047793942889646,0.6737581800019847,-1.0086120976918953,-1.0
"WHILE DRIVING AND WITHOUT WARNING, THE FRONT PASSENGER SIDE TIRE DEFLATED INSTANTLY WHICH BLEW OUT, CONSUMERS SON PULLED OVER AND NOTICED SEVERAL SEVERE TEARS IN THE TIRE WALL, CONSUMER TOOK VEHICLE TO MECHANIC AND EXPLAINED WHAT HAPPENED, AFTER CAREFUL EXAMINATION BY THE MECHANIC THERE WERE NO SIGNS OF A PUNCTURE, NAIL OR ROAD HAZARD, NEVERTHELESS THE REPAIR SHOP REJECTED CONSUMERS REQUEST FOR A FREE TIRE REPLACEMENT, AND THE TIRE WAS WELL WITHIN THE WARRANTY PERIOD, CONSUMER IS REQUESTING REIMBURSEMENT FOR THE TIRE.(MICHELIN ENERGY MXV4 PLUS 195/65 R15 RRBL91H).",564356,HONDA,ACCORD,2001,VA,N,Y,N,55,101317.0,T4,6.206155114307596,0.9234447046214667,11.016734888735385,17.52122011456381,-4.704428418257618,-1.1563503961019606,-0.3471639427232481,-0.8571428571428571
"CONSUMER WAS INVOLVED IN AN ACCIDENT WHERE THE AIR BAG DID NOT DEPLOY, CONSUMER STATES THAT THE SENSORS ARE IN THE BUMPER, THERE WAS ONE INJURY IN THE ACCIDENT.",564565,HONDA,ACCORD,2001,CA,Y,Y,Y,35,87186.0,T2,1.7176065546923263,2.491183945937203,2.356776557183409,-1.3562680700525627,-0.415995209085678,-2.3730025016928296,-1.03627172659665,-2.0
"CONSUMER STATES IN THE FIRST WEEK OF DRIVING THE SRS LIGHT CAME ON.  DEALERSHIP ADVISED THAT THE SENSOR HAD SIMPLY TIGGERED.  AFTER FOUR ATTEMPTS TO REPAIR, THE SRS LIGHT WOULD COME ON INTERMITTENTLY.  DEALERSHIP STATED THAT THERE WAS INDEED A PROBLEM WITH THE SRS SYSTEM, BUT THAT THEY HAD NO KNOWN FIX.",564958,HONDA,CIVIC,2001,00,N,N,N,31,91218.0,T1,4.855276039177911,0.8568521285319045,1.9447766136537799,-2.977267295617258,-1.6783014040390354,1.4612595731961195,-3.379513424577614,-1.5
"THE BRAKES SMELLED LIKE BURNT RUBBER. THE DEALER INDICATED THAT THE REAR BRAKES WERE MISALIGNED AT THE FACTORY AND CAUSED THE FRONT PADS TO RUB. THE DEALER RESURFACED THE ROTORS AND ADJUSTED THE BRAKES, BUT THE PADS CONTINUED WEARING FAST AND THE ROTORS CONTINUOUSLY OVERHEATED.",565064,HONDA,ACCORD,2001,CA,N,N,N,24,87186.0,T5,2.7093380425899714,0.05931508809295928,3.02673277522096,0.5924083980474939,5.997109799551226,3.6901887621734373,-4.073819583152157,2.0
"CONSUMER STATED THAT EMISSION MALFUNCTION LIGHT CAME ON REPEATEDLY, THE VEHICLE WAS TAKEN TO THE DEALER FIVE TIMES, THE DEALER PUT A MODULE ON AND THE LIGHT CAME BACK ON 2 DAYS LATER, THE DELAER THEN STATED THE PROBLEM WAS GAS CAP, BUT THE PROBLEM STILL REMIANED AND THE DELAER FINALLY ADMITTED THERE WAS A REAL PROBLEM.",565494,HONDA,CIVIC,2001,MA,N,Y,N,28,85692.0,T1,5.47762931617512,-0.05532685584351761,1.4706464366218719,-1.884750907834907,0.19161565984506435,2.248313071302517,-2.77495683761844,-1.75
"WHILE DRIVING, VEHICLE WAS STRUCK IN THE PASSENGER SIDE FRONT QUARTER PANEL, THE AIRBAGS DEPLOYED, CREATING A THICK SMOKE WHICH OBSCURED THE WINDSHIELD, CAUSING A LOSS OF VISION TO THE CONSUMER, CONSUMER STATES THAT THIS SMOKE PREVENTED HER FROM MAINTAINING THE BEST CONTROL OF THE VEHICLE UNDER THE CIRCUMSTANCES.",565536,HONDA,ACCORD,2001,VA,N,N,N,30,101317.0,T1,2.8308182198564786,2.2195046287617264,2.649134711174726,-0.4031325599208811,2.0794696512011117,-1.7282286108422011,1.4498850457859307,-0.2
"CONSUMER STATES THAT THE SRS LIGHT ILLUMINATED, DEALER STATED THAT THE SEAT BELT SENSOR WAS DAMAGED BY ITEMS PLACED UNDER THE SEAT, CONSUMER LEFT THE DEALER AFTER REPAIRS WERE MADE, HOWEVER THE LIGHT WAS STILL ILLUMINATED, DEALER THEN STATED THE SEAT BELT NEEDED REPLACED, CONSUMER WAS INFORMED THAT THE PARTS WERE ON A NATIONAL BACK ORDER, CONSUMER IS STILL AWAITING FOR THE PARTS.",565561,HONDA,ACCORD,2001,OH,N,N,N,24,93380.0,T1,6.18191086532818,4.8451563999118505,4.680793338927469,-4.535733133563393,-1.9084638483485534,-4.4568433293623775,-0.12564393198260507,0.0
"CONSUMER IS HAVING MULTIPLE PROBLEMS WITH TRANSMISSION GETTING STUCK IN FIRST GEAR AND WHEN PARKED ON AN INCLINE, TRANSMISSION IS WHINING.  DEALER REPLACED TRANSMISSION.  HOWEVER, CONSUMER IS STILL HAVING PROBLEMS WITH TRANSMISSION. DEALER NOT WILLING TO DO ANYTHING FURTHER. CONSUMER ALSO NOTED THAT DEALERSHIP FAILED TO FILL TRANSMISSION WITH FLUID.  DUE TO CONTINUOUS PROBLEMS WITH TRANSMISSION, VEHICLE HEISTATED AND LURCHED FORWARD HITTING A TRUCK.",565782,HONDA,ACCORD,2001,NY,N,N,N,24,78383.0,T1,8.725230277994829,-3.8989846816968057,-4.871922834700608,1.0997710413025625,-0.0039041651156760666,-3.268371646524732,0.46470313635854305,-2.0
"CONSUMER STATES THERE IS A EXTREMELY PERVASIVE, OBNOXIOUS ODOR IN THE VEHICLE, THE ONLY TIME THE ODOR IS NOT PRESENT IS ON HOT DAYS WHEN THE AIR CONDITIONER IS ON AT FULL SPEED, CONSUMER BELIEVES THE ODOR IS CAUSED BY A MOLD OR SOME TYPE OF FUNGUS GROWING IN THE CLIMATE CONTROL SYSTEM IN THE VEHICLE.",565829,HONDA,ACCORD,2001,PA,N,N,N,24,96792.0,T1,3.1484448113211463,1.483598001997359,1.5477015913919525,-0.07943624562104654,1.3245304210451927,0.3630992459765178,-0.6366257325544696,-1.0
THE VEHICLE HIT A SIDEWALL TREE AND THE FRONT LEFT SIDE OF THE VEHICLE CRASHED. DURING THE ACCIDENT THE AIR BAGS DID NOT DEPLOY.,565974,HONDA,CIVIC,2001,CA,N,N,N,31,85064.0,T3,2.297194050866603,2.5283571546355894,3.0227341072198715,-0.5010567622095231,1.103790402002997,-2.547004409561647,-0.1894258985844002,-2.0
"WHILE DRIVING A NOISE WAS HEARD FROM THE REAR.  THE VEHICLE WENT INTO A 180 DEGREE SPIN HITTING A MAILBOX AND CAUSING DAMAGE TO THE VEHICLE.  THE ARM, REAR SUSPENSION BROKE DISCONNECTING THE RIGHT REAR WHEEL FROM THE FRAME.",566075,HONDA,CIVIC,2001,TX,N,N,Y,38,2000.0,T5,2.932991669218999,0.28681542663455273,2.8959857485595575,1.3320671855874364,3.006525181858748,-0.591001242246396,1.2395508818572913,-2.0
"WHILE DRIVING, THE VEHICLE BEGAN TO BUCK AND THEN SURGE FORWARD, IT DOWNSHIFTED FROM D4 TO D1, CONSUMER WAS ABLE TO BRAKE AND SHIFT TO D4.",566843,HONDA,ODYSSEY,2002,NY,N,N,N,60,71777.0,T5,1.7770690543403336,0.11220470018638473,-0.03052783563789796,0.5146614644905064,3.0423581636929202,0.2387957328310447,-0.8067605729724259,0.0
"VEHICLE PULLS WITH SLIGHT VEERING TO RIGHT AND LEFT.  THERE IS ALSO VIBRATION IN THE STEERING WHEEL AT SPEEDS OF 40 - 70 MPH.  DEALER BALANCED WHEELS, CHECKED HUB AND WHEEL RUN OUT, INNER CV JOINTS, SHIFTED FRONT SUBFRAME TO RIGHT, SHIFTED STEERING KNUCKLES TO THE LEFT TO GAIN MAXIMUM LEFT BIASED CAMBER, REPLACED ORIGINAL WHEELS/TIRES WITH EX MODEL TIRES. VEHICLE HAS BEEN AT DEALERSHIP 5 TIMES.  HOWEVER PROBLEM STILL EXISTS.  CONSUMER STATES PERFORMANCE OF VEHICLE AND THE WAY DEALERSHIP HAS CONDUCTED BUSINESS IS UNSATISFACTORY.",566998,HONDA,ODYSSEY,2002,MD,N,N,N,70,77167.0,T1,7.461855415304915,0.05543502635229848,5.296136251400248,5.8036446590189055,2.469254044805087,-0.18280707671431773,1.2424192696962433,-0.6666666666666666
"CONSUMER STATES WHILE DRIVING, A CAR SUDDENLY CUT INTO CONSUMER'S LANE.  CONSUMER TURNED THE VEHICLE TO AVOID HITTING THE OTHER CAR AND USED THE BRAKES IMMEDIATELY.  VEHICLE SPAN OUT OF CONTROL, MAKING 2 COMPLETE ROTATIONS AND THEN HITTING ANOTHER VEHICLE.  THERE WAS DAMAGE TO BOTH VEHICLES, BUT NO ONE WAS INJURED.  CONSUMER FEELS THE ABS AND TRACKING SYSTEM FAILED TO PREVENT THE ACCIDENT.",567072,ACURA,TL,2003,NJ,Y,N,N,40,66324.0,T5,6.4403722155960965,1.6477020254650907,3.0719981186927043,0.6836874970139044,6.587721931328705,-0.4203644632395254,-0.19570633269719503,-1.625
"THE GLOVE BOX DOES NOT CLOSE PROPERLY.  OCCASIONALLY, THE DRIVER SEAT BELT WILL NOT RETRACT.  DEALER FOUND THAT THE BELT WAS CURLED/TWISTED.  STATES DRIVER'S SEAT IS LOOSE AND SOMETIMES UPON ACCELERATION AND BRAKING, THERE IS MOVEMENT IN THE SEAT.  DEALER FOUND TRACK WAS FAULTY, BUT PROBLEM STILL EXISTS.  THE AIRBAG INDICATOR LIGHT CAME ON.  DEALER ADVISED THAT THE REQUIRED PART TO RECTIFY THE PROBLEM WOULD BE ORDERED HOWEVER NO ONE HAS CONTACTED CONSUMER REGARDING THIS MATTER.",567080,HONDA,ACCORD,2002,NY,N,N,N,22,79225.0,T1,6.578752925107544,1.6189236900700394,6.402998852437605,-5.037284091161699,0.15657141372683486,-5.098078996231838,1.1874495946196013,-1.4
"CONSUMER BROUGHT VEHICLE IN FOR WARRANTY SERVICE ON THE AIR CONDITIONING SYSTEM WHICH IS NOT COOLING PROPERLY, AND BECAUSE OF TWO LOOSE CENTER AIR CONDITIONING VENTS.   UPON INSPECTION, IT WAS DETERMINED THAT THE LOOSE CENTER VENTS WERE NORMAL WEAR AND TEAR.  THE SERVICE WAS PROVIDED TO THE AIR CONDITIONING SYSTEM BUT IT IS STILL NOT OPERATING PROPERLY.",567125,HONDA,CIVIC,2002,CA,N,N,N,29,85906.0,T1,3.943039505769622,1.6364641650117795,3.071224844541862,-1.123192144337132,-0.7441561349398482,-0.4299501315975344,-2.6804009568270106,-1.3333333333333333
CONSUMERS SON WAS INVOLVED IN A CAR ACCIDENT AND THE AIRBAGS FAILED TO DEPLOY.,567174,HONDA,CIVIC,2001,CA,N,N,N,31,85064.0,T1,1.2553391909464355,0.6035351409328285,1.1288542686394019,-0.629157463736858,0.453921885992793,-1.1372939207325135,0.14186079637404092,-2.0
"CONSUMER STATES THAT THE DRIVERS SEAT HAD A CLUNK WHEN DRIVING OVER BUMPS OR WHEN SHIFTING WEIGHT, CONSUMER REALIZED THIS WAS DUE TO EXCESS PLAY IN A SCISSOR/HINGE MECHANISM WHICH CAUSED THE RIGHT INBOUND BACK BOTTOM OF THE SEAT TO MOVE ABOUT 1/4 OF AN INCH, DEALER REPLACED THE ADJUSTER ASSEMBLY, HOWEVER PROBLEM STILL EXISTS, CONSUMER IS REQUESTING THAT THE POWER ADJUSTABLE HEIGHT/TRACK MECHANISM BE REPLACED WITH THE NON HEIGHT ADJUSTABLE UNIT.",567207,HONDA,ACCORD,2002,NJ,N,N,N,22,82625.0,T1,4.361197999053915,0.8691980541898798,3.0827458386906,-1.3659303997565901,0.43181364660247473,-3.287125756505111,1.7467628780002875,-2.0
"WHILE TRAVELING ON THE HIGHWAY, THE RIGHT FRONT TIRE BLEWOUT, CAUSING THE DRIVER TO LOSE CONTROL OF HER VEHICLE.  THE VEHICLE WENT INTO THE MEDIAN AND BECAME AIRBORNE (ROLLING OVER SEVERAL TIMES) ABOUT 4-5 MORE TIMES ON THE GROUND, HIT A SEMI-TRUCK TRAVELING ON THE OPPOSITE SIDE OF THE ROAD, FINALLY COMING TO A REST.  ALSO, WITH THE FORCE OF THE IMPACT ON THE SIDES OF THE VEHICLE, PARTICULARLY THE DRIVER SIDE, IT WOULD SEEM TO BE STRONG ENOUGH TO ACTIVATE THE SIDE AIRBAGS, YET THE SAFTEY FEATURE DID NOT PERFORM, BRIDGESTONE DUELER H/T.",567784,HONDA,CR-V,2002,CA,N,N,Y,35,94601.0,T3,6.801563384903787,1.517029170576823,8.14848288740802,3.100522155429939,3.2184789885285774,-3.6635658391152743,2.8715473161937006,2.0
"WHILE THE CONSUMER WAS TRYING TO PARK, THE VEHICLE SUDDENLY ACCELERATED FORWARD AND CRASH INTO BRICK WALL CAUSING THE AIRBAGS TO DEPLOY. THE CONSUMER WAS INJURED DURING THE ACCIDENT.",567798,HONDA,ACCORD,2001,MO,N,N,N,24,92500.0,T5,2.0284959222287435,0.8442683764784851,1.4272357381405507,-0.23841159768773607,2.063251452451211,-1.2998914656477505,0.33147980395800325,-2.0
WHILE THE CONSUMER WAS TRAVELING THE MOTOR WAS ABOUT TO FAIL. THE CONSUMER BELIEVES THIS PROBLEM WAS DUE TO MANUFACTURER DEFECT AND THE VEHICLE IS UNSAFE.,567943,HONDA,ACCORD,2002,NC,N,N,N,22,400.0,T1,2.0433934229061586,0.4008146241836064,0.3779736343844143,0.09519602947224405,0.11978817238620516,-0.0898662053152554,0.2388730524143029,-2.3333333333333335
"WHILE IN MOTION, CONSUMER IMPACTED A POT HOLE WHICH CAUSED THE AIR BAGS TO DEPLOY INJURING THE PASSENGER.  HONDA IS NOT ACCEPTING RESPONSIBILITY FOR THE INCIDENT.",567978,HONDA,ACCORD,2002,NJ,N,N,N,15,82625.0,T3,1.6638975790301658,1.8385576930144634,2.317288008918781,-1.178285529797409,-0.8371953957140966,-1.88586613548,-0.6418781979043877,0.25
"THE CONSUMER CAN'T BUCKLE THE HI-BACK BOOSTER SEAT INTO THE CAR'S SEAT BELT SYSTEM.  THE CONSUMER FEELS THAT THERE SHOULD BE A 2 INCH EXTENSION ADDED.  THE CONSUMER STATES THAT HER GRANDCHILDREN HAS TO USE THE BOOSTER SEATS UNTIL THEY REACH THE WEIGHT OF 80 LBS.  THEY ARE 3 1/2 AND 5 1/2, AND THE CONSUMER DOESN'T WANT ANYTHING TO HAPPEN TO THEM.",567997,HONDA,ACCORD,2002,MO,N,Y,N,19,93342.0,T3,3.2233169880747807,1.229770394802981,4.456883506830335,-3.1509241471090776,0.0804002361864544,-5.756353928668815,1.5955365716653471,0.5
"WIND NOISE CAN BE HEARD INSIDE THE VEHICLE, THE DEALER RESEALED THE WINDSHIELD MOLDING, NOISE WHILE BRAKING, FAULTY ECM FUSE CAUSED THE VEHICLE TO STALL WHILE STOPPED, RATTLE IN DASH, DEALER REPLACED THE FELT TAPE BETWEEN THE AIR DUCTS AND VENTS, CD PLAYER SKIPS AND WAS REPLACED, FAULTY FRONT SPRING CAUSED NOISE IN THE FRONT END, BOTH LEFT DOORS LEAK, THE DRIVERS SEAT IS LOOSE AT THE TRACK, A RIPPED SEAL CAUSED THE SUNROOF TO LEAK, STEERING WHEEL NOT CENTERED.   MR",568341,HONDA,CIVIC,2001,VA,N,N,N,31,99195.0,T1,5.858206541590691,1.6393923552052894,5.341466561762442,0.1845755987029274,4.423068229167166,-1.3055803073928558,1.5899420513951636,-1.6
 VEHICLE HAS BEEN SERVICED 4 TIMES FOR BRAKE PROBLEMS. BUT  DEALER HAS BEEN UNABLE TO RECTIFY THE PROBLEM.  CONSUMER IS REQUESTING REIMBURSEMENT FOR THE COST OF THE VEHICLE.  CONSUMER FEELS THAT THESE ARE FAULTY BRAKES.  SCC...,568452,HONDA,ACCORD,2002,CA,N,N,N,22,134.0,T1,3.818664457804327,-0.4570426666441061,1.2659106382346434,-0.24345392907886268,2.9716094814627514,1.7065717799109454,-2.4182668222776793,-2.0
"CONSUMER EXPERIENCING POPPING NOISES COMING FROM BRAKE SYSTEM, THE VEHICLE WAS TAKEN TO THE DEALER WHO STATED THAT THIS NOISE WAS NORMAL BECAUSE OF THE NEW DIGITAL BRAKING SYSTEM.  MR",568597,HONDA,CR-V,2002,FL,Y,N,N,32,3000.0,T1,2.8138878700277923,0.7091533991933526,1.1507998037419902,-0.2363381207521443,2.045030321281743,1.7328721489790138,-2.6507462454842816,0.0
"SRS INDICATES MALFUNCTION. OWNERS MANUAL STATES AIRBAG MAY NOT DEPLOY.  POWER DOOR LOCK DRIVER SIDE INOPERABLE, CANNOT LOCK CAR FROM INSIDE. PASS INTERIOR DOOR PANEL LOOSE. NOTIFIED DEALER, SLOW TO RESPOND.",737052,HONDA,CIVIC,2001,TX,N,Y,N,28,90630.0,T7,3.198251414217212,1.9555969062588439,3.138384713979562,-1.9234049931213733,1.1417149815799745,-2.1106822652686907,4.405298932772679,-3.0
"WHEN I FIRST GET IN THE CAR AND PULL IT OUT OF THE GARAGE.  WHEN I'M BACKING UP THE BRAKES ARE FINE.  WHEN I START OUT AND IF I NEED TO BRAKE , I.E. AT THE END OF THE ALLEY, I MUST PUSH WITH ALL MY MIGHT TO STOP THE CAR.   I GO AGAIN FOR A SHORT DISTANCE AND TRYTO STOP AND IT DOES IT AGAIN.  I HAVE TO DO THIS FOR ABOUT 3 TO 4 TIMES BEFORE THEY BEGIN TO WORK PROPERLY.  THE CAR IS AT THE DEALERSHIP NOW AND THEY TELL ME THEY CAN'T FIND THE PROBLEM ALTHOUGH IT DOES THAT FOR THEM TOO.   THEY ALSO TRIED A OTHER 2001 MODELS OF THE CIVUC AND THE SAME THING HAPPENS.  THIS I BELIEVE IS A SAFETY ISSUE AND THEY NEED TO FIX THE PROBLEM, WHATEVER IT TAKES.  THEY SAY THAT IF THEY ALLOW THE CAR TO WARM FOR 5 MINUTES IT'S O.K.  I ALREADY KNEW THAT AS AFTER I PUSHED ON THE BRAKES 3 OR 4 TIMES THEN THEY WERE O.K.  I ALSO ADVISED THEM TODAY THAT I WOULD NOT ACCEPT THE CAR BACK UNTIL THEY FOUND THE PROBLEM.  I ALSO TOLD THEM IT DIDN'T HAPPEN IN THE FIRST TWO WEEKS I HAD THE CAR. I'M JUST LUCKY I WASN'T GOING INTO TRAFFIC AND ON SNOW AND ICE.  I FEEL THAT I SHOULD BE ABLE TO GET INTO MY CAR AND DRIVE KNOWING MY BRAKES WILL WORK PROPERLY.",737514,HONDA,CIVIC,2001,CO,N,Y,N,20,75644.0,T1,15.84339157345326,-4.440258244536375,5.707101783881775,-1.4935492837191269,11.459619961222787,5.640362213485279,-3.644621213320279,0.19230769230769232
